,links,titles,texts,timestamp
0,https://news.google.com/articles/CBMiOGh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vbXVsdG5vbWFoY291bnR5L3AvQ3YtdGdQdHBsbU4v0gEA?oc=5,"Multnomah County on Instagram: ""ALERT: Toxic algae has been detected on the Willamette River in Portland and ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vbXVsdG5vbWFoY291bnR5L3AvQ3YtdGdQdHBsbU4v0gEA?oc=5"" target=""_blank"">Multnomah County on Instagram: ""ALERT: Toxic algae has been detected on the Willamette River in Portland and ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",15 Aug 2023 07:00:00
1,https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vcmVlbC9DdVBoelFGTjRwOC8_aWdzaGlkPU5UYzRNVEl3TmpRMllRJTNEJTNE0gEA?oc=5,OC Supervisor Katrina Foley | Today I joined @msnbc’s Ana Cabrera Reports to warn beach goers & residents about ... - Instagram,"<a href=""https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vcmVlbC9DdVBoelFGTjRwOC8_aWdzaGlkPU5UYzRNVEl3TmpRMllRJTNEJTNE0gEA?oc=5"" target=""_blank"">OC Supervisor Katrina Foley | Today I joined @msnbc’s Ana Cabrera Reports to warn beach goers & residents about ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",03 Jul 2023 07:00:00
2,https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vYXVzdGludGV4YXNnb3YvcC9Dc3RjQWY2TGtaSi_SAQA?oc=5,"City of Austin on Instagram: ""Blue-green algae is present on Lady Bird Lake + Lake Austin. Please assume algae may ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiN2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vYXVzdGludGV4YXNnb3YvcC9Dc3RjQWY2TGtaSi_SAQA?oc=5"" target=""_blank"">City of Austin on Instagram: ""Blue-green algae is present on Lady Bird Lake + Lake Austin. Please assume algae may ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",26 May 2023 07:00:00
3,https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vbWFyaW5lbWFtbWFsY2FyZS9yZWVsL0N3ZFIwQy1oVG9XL9IBAA?oc=5,"Marine Mammal Care Center on Instagram: ""📺️ CNN: Sea Lions Sickened by Toxic Algae Breakout Released Back ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vbWFyaW5lbWFtbWFsY2FyZS9yZWVsL0N3ZFIwQy1oVG9XL9IBAA?oc=5"" target=""_blank"">Marine Mammal Care Center on Instagram: ""📺️ CNN: Sea Lions Sickened by Toxic Algae Breakout Released Back ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",27 Aug 2023 07:00:00
4,https://news.google.com/articles/CBMiO2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vaW5zcGVjdG9ycGxhbmV0L3JlZWwvQzVXd0d2cnVCQ2gv0gEA?oc=5,"Dr. Tracy Fanara on Instagram: ""Lake Okeechobee algae blooms can be seen from Space! Satellite imagery can give ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vaW5zcGVjdG9ycGxhbmV0L3JlZWwvQzVXd0d2cnVCQ2gv0gEA?oc=5"" target=""_blank"">Dr. Tracy Fanara on Instagram: ""Lake Okeechobee algae blooms can be seen from Space! Satellite imagery can give ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",04 Apr 2024 07:00:00
5,https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vZXZ5a2F5YWsvcC9DM2hyTlQwU0NDZC_SAQA?oc=5,"Evy Leibfarth on Instagram: ""AUS camera roll!! Trip was cut short by some toxic algae but still got 6 weeks of awesome ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiMWh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vZXZ5a2F5YWsvcC9DM2hyTlQwU0NDZC_SAQA?oc=5"" target=""_blank"">Evy Leibfarth on Instagram: ""AUS camera roll!! Trip was cut short by some toxic algae but still got 6 weeks of awesome ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",19 Feb 2024 08:00:00
6,https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vbGFuZWVpZ2h0L3AvQzJOS1VZMXZPODgv0gEA?oc=5,"Powered by algae. Did you know that our comfy, responsive midsoles are made from algae? In partnership with ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vbGFuZWVpZ2h0L3AvQzJOS1VZMXZPODgv0gEA?oc=5"" target=""_blank"">Powered by algae. Did you know that our comfy, responsive midsoles are made from algae? In partnership with ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",17 Jan 2024 08:00:00
7,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vZG9nc25hdHVyYWxseW1hZ2F6aW5lL3AvQ3c4a2E5QnN6WGQvP3JlZj1tYWRpc29ubWludXRlcy5jb20maGw9YWbSAQA?oc=5,"Dogs Naturally op Instagram : "" Blue-green algae can look like “pea soup” scum on the water or discolored water … but ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vZG9nc25hdHVyYWxseW1hZ2F6aW5lL3AvQ3c4a2E5QnN6WGQvP3JlZj1tYWRpc29ubWludXRlcy5jb20maGw9YWbSAQA?oc=5"" target=""_blank"">Dogs Naturally op Instagram : "" Blue-green algae can look like “pea soup” scum on the water or discolored water … but ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",08 Sep 2023 07:00:00
8,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vc2lsdmVyd29vZGxha2VzcmEvcC9DeUU0amswdklKZi_SAQA?oc=5,"Silverwood Lake SRA | ⚠️ WARNING ADVISORY, TOXIC BLUE-GREEN ALAGE. SWIMMING PROHIBITED ⚠️ New ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vc2lsdmVyd29vZGxha2VzcmEvcC9DeUU0amswdklKZi_SAQA?oc=5"" target=""_blank"">Silverwood Lake SRA | ⚠️ WARNING ADVISORY, TOXIC BLUE-GREEN ALAGE. SWIMMING PROHIBITED ⚠️ New ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",06 Oct 2023 07:00:00
9,https://news.google.com/articles/CBMiOGh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vcmhvZGVpc2xhbmQuZGVtL3AvQ3o2X0pkYXZXTzYv0gEA?oc=5,"Rhode Island DEM on Instagram: ""Blue-Green Algae Bloom at Indian Lake. The Rhode Island Department of Health ... - Instagram","<a href=""https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3Lmluc3RhZ3JhbS5jb20vcmhvZGVpc2xhbmQuZGVtL3AvQ3o2X0pkYXZXTzYv0gEA?oc=5"" target=""_blank"">Rhode Island DEM on Instagram: ""Blue-Green Algae Bloom at Indian Lake. The Rhode Island Department of Health ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Instagram</font>",21 Nov 2023 08:00:00
